作者,作者身分,"文獻名稱	",年份,施引文獻,連結,摘要,作者,索引關鍵字,EID
"Liu S.-K., Chang J.-C., Tsai H.-J., Wu C.-S.",7409462879;57210862871;7402649638;36166000500;,Comparisons of the clinical outcomes between early- and adult-onset bipolar disorders: A prospective cohort analysis,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071724516&doi=10.1016%2fj.jad.2019.08.084&partnerID=40&md5=c596e836b889883431aed5a0bed1c12d,"Background: This study aimed to explore the impact of age-at-onset on clinical outcomes in bipolar-spectrum disorders, including the development of alcohol or substance use disorder, suicidality, and psychiatric hospitalization. Methods: This population-based study enrolled newly-diagnosed bipolar-spectrum patients, including 4,367 patients with early-onset bipolar disorder (EOBD), 64,787 patients with adult-onset bipolar disorder (AOBD), and the same number of age-controlled comparison subjects without bipolar disorder, from Taiwan's National Health Insurance Research Database. Time-dependent covariate Cox regression models were used to estimate the effect of age-at-onset on clinical outcomes with adjustment for pre-existing psychiatric comorbid conditions and pharmacological treatment patterns. Sensitivity analyses using different definitions of study sample and age cutoffs were conducted. Results: The average follow-up duration was 5.7 years. After adjustment with time-dependent covariates and chronological age, there were no significant differences in the risks for developing new-onset alcohol or substance use disorders and psychiatric hospitalization between EOBD and AOBD patients. Although EOBD patients had a higher risk of hospitalization for suicide and self-harm than did AOBD patients in primary analysis, this finding did not replicated in the sensitivity analyses. Limitations: The symptom profile and severity of bipolar disorder was not available in the NHIRD; therefore, surrogate indicators of clinical outcome might not be sensitive enough to detect the subtle differences. Conclusions: EOBD and AOBD patients had similar risks for developing alcohol or substance use disorders. Their risk of psychiatric hospitalization was similar. Whether EOBD patients might have a higher risk of hospitalization for suicide and self-harm warrants further investigations. ? 2019 Elsevier B.V.",Clinical outcomes; Early-onset bipolar disorders; Hospitalization; Self-harm; Substance use disorder,alcohol; antidepressant agent; benzodiazepine; mood stabilizer; neuroleptic agent; adult; age; Article; automutilation; bipolar I disorder; clinical outcome; cohort analysis; comorbidity; controlled study; female; follow up; hospitalization; human; major clinical study; male; priority journal; prospective study; randomized controlled trial; sensitivity analysis; suicidal behavior; suicide,2-s2.0-85071724516
"Li D., Kao T.-H., Chang S.-W.",57210840931;57210840811;56937324300;,The structural changes of the mutated ankyrin repeat domain of the human TRPV4 channel alter its ATP binding ability,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071653969&doi=10.1016%2fj.jmbbm.2019.103407&partnerID=40&md5=eb72a67d4df1a4a4b2a0f0ef7f90ee22,"The transient receptor potential (TRP) channel TRPV4 is a calcium-permeable cation channel protein which plays a mechanosensory and osmosensory role in several musculoskeletal tissues. Previous studies have shown that some specific mutations in the ankyrin repeat domain (ARD) of TRPV4 can reduce channel activity and further cause the osteoarthropathy related disease. Mutations in this region probably influence the constitutive activity of the channel, which mainly regulated by the binding of a small ligand such as adenosine triphosphate (ATP). These findings suggest that it is crucial to understand the fundamental mechanisms regulated by chemical ligands such as ATP binding with the ankyrin repeat domain (ARD) of TRPV4. However, how these mutations at the molecular level resulting in the related diseases are still unclear. Here we use full atomistic simulations to investigate the mutation induced conformational changes and ATP binding ability differences of TRPV4-ARD. Conformation characteristics of different mutations of TRPV4-ARD are explored. Optimal communication paths are studied to explain how a point mutation away from aim region (Finger 3) can cause a significant alteration on the conformation. We identify two molecular mechanisms through the conformation of Finger 3 and through alter the ATP binding mechanism correspondently to explain these unknowns. Our study provides fundamental insights into the mutation induced structural changes of the TRPV4-ARD and helps to explain how the mutations alter the ATP binding ability of the TRPV4-ARD. ? 2019 Elsevier Ltd",,Adenosinetriphosphate; Ligands; Ankyrin-repeat domain; Atomistic simulations; Channel activity; Conformational change; Fundamental mechanisms; Molecular mechanism; Optimal communication; Transient receptor potentials; Conformations; adenosine triphosphate; ankyrin; finger 3 protein; k197r protein; protein; unclassified drug; vanilloid receptor 4; Article; chemical structure; conformational transition; hydrogen bond; ligand binding; molecular interaction; osteoarthropathy; point mutation; priority journal; protein conformation; protein domain; protein protein interaction; thermostability,2-s2.0-85071653969
"Tseng F.-Y., Lin L.-C., Ko B.-S., Chu T.-S., Tsai S.-L., Sheng W.-H., Yen C.-J., Chang C.-H., Wu C.-H., Shih S.-R., Chiu W.-Y., Pan S.-C., Chen W.-P., Chang P.-Y.",7005751153;56647217100;35210620900;7401775806;36793201700;7103379375;7202149165;57202305536;57201887812;8911237400;36877844900;7402713234;57210387734;8084532600;,Immediate knowledge improvement and long-term teaching confidence after general medicine faculty training program,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070541868&doi=10.1016%2fj.jfma.2019.08.001&partnerID=40&md5=b49c4ffe29957b810a6b2d5f42bafc78,"Background/purpose: This study analyzed the effects of the General Medicine Faculty Training Program (GMFTP), which was implemented in 2009. The training program includes a 7-hour basic training (BT) to introduce ways of teaching and assessing the 6 core competencies identified by the Accreditation Council for Graduate Medical Education, and a 40-hour clinical training program. Methods: Physicians from different hospitals attended the GMFTPs. Since 2010, we have been using quick tests to assess trainees' familiarity of core competencies. Knowledge improvement (KI) was defined as the difference between post-BT and pre-BT test scores. Since 2013, we have been annually mailing questionnaires to assess trainees' teaching confidence (TC) of core competencies. We analyzed the correlations between trainees' characteristics, KIs, and TCs. Results: Between year 2009 and 2017, a total of 319 attending physicians (257 male, 62 female), with a mean age of 39.1 ± 6.2 years, completed the GMFTPs. Significant KI (32.6–55.4) was noted. There were no correlations between trainees' characteristics and KIs. The mean TCs for the 6 core competences were all above 4.0 (based on a 5-point Likert scale). TCs were positively correlated with age during GMFTP training, age when responding to the questionnaire, and duration between training and the last time responding to the questionnaire. TC showed no correlation with sex, hospitals, departments, or KI. Conclusion: Knowledge of teaching core competencies improved immediately after BT, but KIs did not correlate with TCs in long-term follow-up. After the training program, physicians' teaching confidence increased over time. ? 2019 Formosan Medical Association",Core competencies; General medicine faculty training program; Knowledge improvement; Teaching confidence,accreditation; adult; age; article; controlled study; female; follow up; general practice; human; human experiment; Likert scale; male; medical education; physician; questionnaire; student,2-s2.0-85070541868
"Hsu W.-T., Pan S.-C., Hsieh S.-M.",57161894300;7402713234;7202057521;,10-year outcome of temporary structured treatment interruption (STI) among HIV-1-infected patients: An observational study in a single medical center,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070253661&doi=10.1016%2fj.jfma.2019.07.029&partnerID=40&md5=30f6c05f299f7ede4bd96e3362894e2e,"Background: Lifelong antiretroviral therapy (ART) is recommended for HIV-1 infected patients but may lead to intolerance or poor adherence. Structured treatment interruption (STI) is a strategy for drug holiday or to boost HIV-specific immunity. But the long-term outcome of STI was never reported in literature. Methods: This is a single-center observational study. We followed the HIV-infected patients who already had a stable viral suppression and voluntarily started temporary STI with a fixed 12-week interval after counseling, evaluation and education. HIV-1-specific T cell response was also measured in some patients. Results: Totally 34 HIV-infected patients received temporary STI since July, 2006. 18 patients completed 10-year follow-up. All patients received protease inhibitors (PI)-based ART before and during temporary STI. The patients received temporary STI with a period of 36–85 weeks. All of them reached viral suppression after 12 weeks of restarting continuous ART. No viral rebound or opportunistic disease was recorded during follow-up. No adverse event or comorbidity was attributed to STI. The plasma viral load (PVL) at the end of STI was significantly lower than baseline PVL in patients with a longer duration of STI (?36 weeks vs. >36 weeks, P = 0.005). The T cell response study revealed that cyclically increased HIV-1-specific T cell response after starting STI in patients with baseline CD4+ count >350/μL. Conclusion: Temporary STI may not lead to worse long-term outcome among highly selected patients. The policy may partially control viral replication through reminding the HIV-1 specific T cell immunity. ? 2019 Formosan Medical Association",Antiretroviral treatment (ART); HIV-1; Structured treatment interruption (STI),,2-s2.0-85070253661
"Lee M.-R., Lee C.-H., Wang J.-Y., Lee S.-W., Ko J.-C., Lee L.-N.",43861409600;57205601265;41462069600;56019681600;7402678857;7404389523;,Clinical impact of using fluoroquinolone with low antimycobacterial activity on treatment delay in tuberculosis: Hospital-based and population-based cohort study,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068047769&doi=10.1016%2fj.jfma.2019.06.008&partnerID=40&md5=3d238da4795798c713397132c631b9ee,"Background/Purpose: Little remains known regarding whether newer FQ with less anti-mycobacterial activity (gemifloxacin) would reduce treatment delay. Methods: We identified one hospital-based cohort (HBC) and one population-based cohort (PBC) including patients receiving amoxicillin/clavulanate acid (Beta-lactam), gemifloxacin (Gemi), and fluoroquinolones other than gemifloxacin (Non-Gemi FQ) prior to TB treatment. Results: A total of 201 patients in the HBC and 3544 patients in the PBC were recruited. After 1:1 propensity score matching, TB treatment delay was statistically insignificant between Beta-lactam, Gemi group, and Non-Gemi FQ group in HBC (Beta-lactam vs Gemi: 22.3 ± 21.4 d vs 28.6 ± 27.9 d, p = 0.292; Beta-lactam vs Non-Gemi FQ: 33.3 ± 26.5 d vs 50.3 ± 47.3 d, p = 0.135) and PBC (Beta-lactam vs Gemi: 26.4 ± 29.1 vs 25.0 ± 28.1, p = 0.638; Beta-lactam vs Non-Gemi FQ: 29.4 ± 36.0 d vs 32.7 ± 35.0 d, p = 0.124, Non-Gemi FQ vs Gemi: 28.4 ± 33.0 d vs 25.0 ± 28.1 d, p = 0.29). Conclusion: While limited by relatively low case number, our study showed that use of gemifloxacin neither results in nor reduces delay in TB treatment. The issue of FQ use on TB treatment delay was also not observed in our study. Early survey and maintaining high clinical alertness remains the key to reducing TB treatment delay. ? 2019 Formosan Medical Association",Beta-lactam; Fluoroquinolone; Gemifloxacin; Treatment delay; Tuberculosis,amoxicillin plus clavulanic acid; ciprofloxacin; gemifloxacin; levofloxacin; moxifloxacin; ofloxacin; quinolone derivative; adult; antibiotic therapy; Article; cohort analysis; comorbidity; comparative study; controlled study; female; hospital based case control study; human; ICD-9-CM; major clinical study; male; middle aged; propensity score; therapy delay; thorax radiography; tuberculosis,2-s2.0-85068047769
"Tsou H.-H., Yang H.-C., Hsiao C.-F., Hsiung C.A., Liu T.-W., Chuang M.-H., Wu H.-Y., Hsu Y.-T., Tsui C.-W., Chen P.-J., Cheng A.-L., Hsu C., Taiwan Cooperative Oncology Group",14122558200;8595098300;7202806660;57202456495;8746697100;57209363131;46062566700;36482903800;57209361116;7408354514;56723366300;36838890800;,Cost-effectiveness of preventing hepatitis B virus reactivation in patients with lymphoma and resolved HBV infection,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067546088&doi=10.1016%2fj.jfma.2019.05.027&partnerID=40&md5=44f4ebcd9400e11cb63c0b3e004eee3d,"Background/Purpose: Hepatitis B virus (HBV) reactivation may occur in >10% of patients with lymphoma and resolved HBV infection who undergo rituximab-containing chemotherapy. Preventive strategies may have marked impact on resource allocation in HBV endemic areas. This study aims to compare the cost-effectiveness between prophylactic antiviral therapy and HBV DNA monitoring for the prevention of HBV-related complications. Methods: Data sources are studies of HBV-related events and survival for patients with lymphoma and resolved HBV infection published since 2006. Decision tree analysis was used to compare the incremental cost-effectiveness ratio (ICER) of preventing HBV-related death or liver decompensation for patients who undergo first-line rituximab-containing chemotherapy. Sensitivity analysis was performed to examine the impact of the preventive efficacy, the duration of prophylactic antiviral therapy, and the cost of different interventions. The direct medical cost was derived from the database of the NHI Administration, Taiwan. The time frame of our analysis was set to 3 years after the completion of chemotherapy. Results: The median ICER of prophylactic antiviral therapy, according to current practice guidelines, ranged between USD 150,000 and 250,000 if we apply the guidelines generally. When a long-course (12 months after completion of chemotherapy according to clinical guidelines) prophylactic therapy was assumed, Option A was cheaper and more effective only in the anti-HBs-negative subgroup (median ICER US$149,932 vs. US$161,526, p = 0.013). Conclusion: Identification of anti-HBs-negative subgroups is critical to improve the cost-effectiveness of prophylactic antiviral therapy in lymphoma patients with resolved HBV infection. ? 2019 Formosan Medical Association",Antiviral therapy; Chemotherapy; Hepatitis B reactivation; Rituximab,cyclophosphamide plus doxorubicin plus prednisolone plus rituximab plus vincristine; hepatitis B surface antibody; antiviral therapy; Article; cancer chemotherapy; cancer patient; cancer survival; chemotherapy; clinical outcome; clinical study; cost effectiveness analysis; decompensated liver cirrhosis; diffuse large B cell lymphoma; disability-adjusted life year; endemic disease; follow up; hepatitis B; Hepatitis B virus; hospital patient; human; human tissue; liver biopsy; national health insurance; nonhuman; outcome assessment; overall survival; population; practice guideline; prophylaxis; resource allocation; survival; treatment duration; virus reactivation; World Health Organization,2-s2.0-85067546088
"Satoh T., Kang Y.-K., Chao Y., Ryu M.-H., Kato K., Cheol Chung H., Chen J.-S., Muro K., Ki Kang W., Yeh K.-H., Yoshikawa T., Oh S.C., Bai L.-Y., Tamura T., Lee K.-W., Hamamoto Y., Kim J.G., Chin K., Oh D.-Y., Minashi K., Cho J.Y., Tsuda M., Tanimoto M., Chen L.-T., Boku N.",12040860900;7402784198;7402865850;7101754860;56502463000;57208770264;35075804900;7006195808;36138652200;7201438906;7402718437;55647062500;7201957490;7403453308;35205887300;7103060946;34771414000;7202995470;8836932000;6506466850;57208895535;56012668900;57208782027;7409440415;55359026700;,Exploratory subgroup analysis of patients with prior trastuzumab use in the ATTRACTION-2 trial: a randomized phase III clinical trial investigating the efficacy and safety of nivolumab in patients with advanced gastric/gastroesophageal junction cancer,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065787461&doi=10.1007%2fs10120-019-00970-8&partnerID=40&md5=065b859af3291472b98f4b30d25753d5,"Background: Data on immune checkpoint inhibitor efficacy in patients with human epidermal growth factor receptor 2-positive (HER2+) advanced gastric/gastroesophageal junction (G/GEJ) cancer are lacking. Because HER2 status was not captured in the ATTRACTION-2 trial, we used patients with prior trastuzumab use (Tmab+) as surrogate for HER2 expression status to evaluate the efficacy and safety of nivolumab as third- or later-line therapy in these patients. Methods: In ATTRACTION-2, a randomized, double-blind, placebo-controlled, phase 3 multicenter trial, patients were randomized (2:1) to receive nivolumab (3?mg/kg) or placebo every 2?weeks until disease progression or toxicity requiring study discontinuation. Overall survival (OS), progression-free survival (PFS), objective response rate (ORR), and safety were assessed. Results: Of 493 enrolled patients, 81 (nivolumab, n = 59; placebo, n = 22) were Tmab+ and 412 (nivolumab, n = 271; placebo, n = 141) were Tmab?. In both groups, patients receiving nivolumab showed a longer median OS vs placebo (Tmab+, 8.3 [95% confidence interval, 5.3–12.9] vs 3.1 [1.9–5.3] months, hazard ratio, 0.38 [0.22–0.66]; P = 0.0006; Tmab?, 4.8 [4.1–6.0] vs 4.2 [3.6–4.9] months, 0.71 [0.57–0.88]; P = 0.0022). PFS was longer in both groups receiving nivolumab vs placebo (Tmab+, 1.6 [1.5–4.0] vs 1.5 [1.3–2.9] months, 0.49 [0.29–0.85]; P = 0.0111; Tmab?, 1.6 [1.5–2.4] vs 1.5 [1.5–1.5]?months, 0.64 [0.51–0.80]; P = 0.0001). Conclusions: Nivolumab was efficacious and safe as third- or later-line therapy regardless of prior trastuzumab use in patients with advanced G/GEJ cancer. ? 2019, The Author(s).",Gastric cancer; Gastroesophageal junction?cancer; Nivolumab; Trastuzumab,,2-s2.0-85065787461
"Liu T.J., Tai H.-C., Chien K.-L., Cheng N.-C.",57205668468;7201668605;7102332315;26532416300;,Predisposing factors of necrotizing fasciitis with comparison to cellulitis in Taiwan: A nationwide population-based case–control study,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061055941&doi=10.1016%2fj.jfma.2019.01.014&partnerID=40&md5=ed42d094ab7bcf339fcaa4a9df877ee6,"Background: Necrotizing fasciitis (NF) is a life-threatening soft tissue infection with low incidence that requires prompt surgery. In the initial stage, it is difficult to distinguish NF and cellulitis, and limited population-based reports are available. Methods: We queried inpatient data sets of National Health Institute Research Database in Taiwan from 2002 to 2011 for all patients with diagnoses of NF. Of them, only patients who underwent surgeries and had been admitted to intensive care units were included as the study group. Age and gender-matched patients with admission diagnoses of cellulitis were enrolled in a ratio of 1:4 as the control group. We calculated annual incidence, mortality rate, risk factors and predictors of mortality of NF. Results: The study group consisted of 7391 NF patients. Among them, 4715 patients (64%) were man and 2676 (36%) were women. The overall annual incidence of NF was 3.26 hospitalizations per 100,000 person-years, which rose with age with male predominance. The in-hospital mortality rate, which also rose with age, was 32.2%. Diabetes mellitus (adjusted odds ratio, 2.93; 95% confidence interval, 2.77-3.11; P value < 0.0001), alcoholism (2.64; 2.27-3.08; P < .0001), and chronic kidney disease (1.98; 1.84-2.14; P < .001) were identified as risk factors. Chronic kidney disease (1.86; 1.64-2.10; P < .001) and liver cirrhosis (1.68; 1.50-1.88; P < .001) were identified as predictors of in-hospital mortality. Conclusion: Age and the presence of chronic diseases are major risk factors as well as prognostic factors of NF in Taiwan. Diabetes mellitus increases the risk of NF, but does not adversely affect the outcome. ? 2019",Epidemiology; Mortality; Necrotizing fasciitis; Predictors of mortality; Predisposing factors,adult; age; alcoholism; amputation; Article; case control study; cellulitis; chronic kidney failure; comparative study; controlled study; debridement; diabetes mellitus; disease predisposition; female; hospital admission; hospital mortality; hospitalization; human; incidence; intensive care; intensive care unit; liver cirrhosis; major clinical study; male; middle aged; mortality rate; necrotizing fasciitis; population based case control study; risk factor; Taiwan,2-s2.0-85061055941
"Su T.-H., Yang H.-C., Tseng T.-C., Chou S.-W., Lin C.-H., Liu C.-H., Liu C.-J., Chen C.-L., Kao J.-H.",7202003834;8595098300;8894499800;57059778700;57188968645;57201454537;36067524000;56160534800;7201375585;,Antiviral Therapy in Patients With Chronic Hepatitis C Is Associated With a Reduced Risk of Parkinsonism,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072164517&doi=10.1002%2fmds.27848&partnerID=40&md5=424aec305e0accf5107af2f2747e6248,"Background: The risk of parkinsonism after antiviral treatment against chronic hepatitis C (CHC) is unclear. Objectives: To investigate the association between CHC and parkinsonism and the efficacy of antiviral therapy. Methods: Using the National Health Insurance Research Database of Taiwan from 2004 to 2012, patients with and without CHC, patients receiving pegylated interferon-based antiviral therapy, and those without such therapy were matched by age, gender, and comorbidities by propensity scores and followed for new diagnoses of parkinsonism and Parkinson's disease (PD). Multivariable Cox proportional hazards regression analyses were performed. Results: Overall, 49,342 patients with CHC were matched with 49,342 non-CHC patients. After adjustment for confounding factors, there was a significantly increased risk (31%) of parkinsonism (hazard ratio [HR] 1.306; 95% confidence interval [CI], 1.208–1.412) in those with CHC and the risk of parkinsonism requiring anti-Parkinson medication (HR 1.323; 95% CI, 1.214–1.441). Furthermore, 23,647 untreated CHC patients were matched with 23,647 patients receiving antiviral therapy. Patients receiving antiviral therapy had a significantly lower risk of developing parkinsonism (38%; HR 0.618; 95% CI, 0.498–0.765) and a reduced risk of parkinsonism requiring anti-Parkinson medication (HR 0.651; 95% CI, 0.515–0.823). In sensitivity analyses, antiviral therapy significantly reduced the risk of parkinsonism and PD after adjustment for detection, selection, disease latency biases, and competing mortality. Our results suggest successful antiviral therapy associates with a reduced risk of hepatitis C virus–related parkinsonism compared with those with treatment failure. Conclusions: CHC infection is associated with an increased risk of parkinsonism or PD. Antiviral therapy against CHC is associated with a reduced risk of parkinsonism or PD. ? 2019 International Parkinson and Movement Disorder Society. ? 2019 International Parkinson and Movement Disorder Society",direct antiviral agent; HCV; movement disorder; Parkinson's disease; pegylated interferon,,2-s2.0-85072164517
"Wu M.-F., Shu C.-C., Wang J.-Y., Yan B.-S., Lai H.-C., Chiang B.-L., Wu L.S.-H., Yu C.-J.",56599362600;23976349500;41462069600;24774148700;7201967401;7201942667;7404904059;7404977466;,NLRP3 inflammasome is attenuated in patients with Mycobacterium avium complex lung disease and correlated with decreased interleukin-1β response and host susceptibility,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071492451&doi=10.1038%2fs41598-019-47609-3&partnerID=40&md5=56cad68f512ae4d6c6dbf77119df3cf4,"The incidence of nontuberculous mycobacteria lung disease (NTM-LD) is increasing in patients without human immunodeficiency virus. Mycobacterium avium complex (MAC) is one of the most common pathogenic species. The presence of MAC has a clinical relevance of around 35~42%, indicating the possibility of host susceptibility. Previous studies have shown that interleukin (IL)-1β and IL-1-receptor knock-out mice are susceptible to mycobacterial infections; however, the role of inflammasome-driven interleukin (IL)-1β has not been studied in MAC-LD. We enrolled patients with MAC-LD and healthy controls. Peripheral blood mononuclear cells (PBMCs), monocytes, and monocyte-derived macrophages were stimulated by MAC bacilli. The responses of interleukin(IL)-1β and the expression of inflammasome and toll-like receptors (TLRs) were measured. Single nucleotide polymorphisms (SNPs) were also examined for NLRP3 and TLR2 genes. In the patients with MAC-LD, the IL-1β responses decreased in PBMCs, monocytes, and macrophages assayed by MAC bacilli in comparison to the healthy controls. In addition, the level of caspase-1 after stimulation was lower in the MAC-LD group, although the mRNA level of IL-1β was not significantly lower. In surveying the activation of IL-1β, the MAC-LD group had an attenuated mRNA level of NLRP3 but similar levels of AIM2 and ASC compared with the controls. The SNPs rs3806268 and rs34298354 in NLRP3 for females and rs3804100 in TLR2 for males were associated with MAC-LD. In conclusion, our patients with MAC-LD had attenuated IL-1β production, which may have been due to lower activation of the NLRP3-caspase-1 axis. Two SNPs of NLRP3 and one of TLR2 were correlated with MAC-LD, possibly indicating host susceptibility. ? 2019, The Author(s).",,,2-s2.0-85071492451
