school attendance,學校出席率
school enrollment,學校出席率
school enrollment,入學率
inclusive education,入學率
educational inequality,教育不平等
education quality,教育平等
educational enrolment,招生率
educational enrollment ,招生率
adult literacy,成人學習
numeracy rate,識數率
educational environment,教育環境
educational access,教育機會
development aid,開發援助
teacher training,教師訓練
early childhood education,學前教育
basic education,基本教育
affordable education,可負擔的教育
educational financial aid,教育資金補助
school safety,校園安全
safety in school,校園安全
learning opportunities,學習機會(複數)
gender disparities,性別不平等
learning opportunity,學習機會
gender disparities,性別不平等
youth empowerment,青年賦權
women empowerment,女性賦權
equal opportunities,機會平等
child labour,童工
child labor,童工
discriminatory,帶有歧視的
educational inequality,教育不平等
educational gap,教育差距
poverty trap,貧困陷阱
schooling,學校教育
special education needs,有特殊教育需要的學生
inclusive education system,總體教育制度
schooling,教育
gender disparities,性別不平等
ethnic disparities,種族不平等
racial disparities,種族不平等
education exclusion,退學
education dropouts,輟學
global citizenship,世界公民
sustainable development education,永續發展教育
environmental education,環境教育
education policy,教育制度
educational policies,教育制度(複數)
international education,國際教育
education reform,教育改革
educational reform,教育改革
developing countries,開發中國家
educational governance,教育管理
developing countries,開發中國家(複數)
school effects,教育成效
education expenditure,教育開支
foreign aid,國外援助
teacher training,教師訓練
developing countries,開發中國家(複數)
teacher attrition,教師流失
health literacy,健康識能
